id,Épica,Tipo,Historia de usuario,Criterios de aceptación,Valor (1–5),Riesgo (1–5),Puntos,Prioridad,¿Trata datos personales?,¿Requisitos de seguridad?,Sprint previsto
US-01,Acceso,Historia de usuario,"Como estudiante quiero iniciar sesión para acceder a mis cursos y notas.","Con credenciales válidas permite el acceso y con credenciales incorrectas muestra un mensaje.",5,4,5,4.6,Sí,"Autenticación segura y protección de credenciales",Sprint 1
US-02,Acceso,Historia de usuario,"Como estudiante quiero cerrar sesión para proteger mi cuenta.","Al seleccionar cerrar sesión se termina la sesión del estudiante.",3,2,2,3.8,Sí,"Cierre seguro de sesión",Sprint 3
US-03,Acceso,Historia de usuario,"Como estudiante quiero recuperar mi contraseña para volver a acceder a mi cuenta.","El estudiante ingresa su correo registrado y recibe instrucciones de recuperación.",4,3,3,4.2,Sí,"Protección del proceso de recuperación",Sprint 2
US-04,Perfil,Historia de usuario,"Como estudiante quiero visualizar mis datos personales para verificar mi información.","El sistema muestra los datos personales registrados del estudiante.",3,2,2,3.6,Sí,"Control de acceso a datos personales",Sprint 3
US-05,Cursos,Historia de usuario,"Como estudiante quiero visualizar mis cursos matriculados para conocer las asignaturas que estoy llevando.","El sistema muestra los cursos matriculados del estudiante y sus datos principales.",5,4,5,4.6,Sí,"Acceso autenticado a información académica",Sprint 1
US-06,Cursos,Historia de usuario,"Como estudiante quiero seleccionar un curso para consultar sus evaluaciones y notas.","Al seleccionar un curso se muestran sus evaluaciones y notas registradas.",5,4,3,4.6,Sí,"Control de acceso a información académica",Sprint 1
US-07,Notas,Historia de usuario,"Como estudiante quiero registrar una nota para mantener actualizado mi rendimiento académico.","El sistema permite registrar una nota válida y asociarla a una evaluación.",5,4,5,4.6,Sí,"Validación y autorización de modificación",Sprint 3
US-08,Notas,Historia de usuario,"Como estudiante quiero modificar una nota registrada incorrectamente.","El sistema permite modificar una nota y valida el nuevo valor.",4,3,3,4.2,Sí,"Control de modificaciones",Sprint 3
US-09,Notas,Historia de usuario,"Como estudiante quiero visualizar mis notas por curso para conocer mis resultados.","El sistema muestra las evaluaciones y calificaciones correspondientes al curso.",5,4,5,4.6,Sí,"Acceso restringido a notas académicas",Sprint 3
US-10,Promedios,Historia de usuario,"Como estudiante quiero visualizar mi promedio actual para conocer mi rendimiento académico.","El sistema calcula y muestra correctamente el promedio con las notas registradas.",5,5,5,5.0,Sí,"Protección de información académica",Sprint 3
US-11,Estimación,Historia de usuario,"Como estudiante quiero conocer cuánto necesito obtener en una evaluación pendiente para aprobar.","El sistema calcula la nota mínima necesaria considerando ponderaciones y nota aprobatoria.",5,5,8,5.0,Sí,"Protección de datos académicos",Sprint 3
US-12,Estimación,Historia de usuario,"Como estudiante quiero conocer mi nota final proyectada para saber si aprobaría una asignatura.","El sistema calcula la nota proyectada y determina si alcanza la nota mínima aprobatoria.",5,5,5,5.0,Sí,"Protección de información académica",Sprint 2
US-13,Estimación,Historia de usuario,"Como estudiante quiero simular diferentes notas para conocer posibles resultados finales.","El estudiante ingresa una nota hipotética y el sistema recalcula la proyección.",5,4,5,4.6,Sí,"No almacenar datos de simulación innecesariamente",Sprint 2
US-14,Seguimiento,Historia de usuario,"Como estudiante quiero visualizar el porcentaje de avance de cada curso.","El sistema muestra el porcentaje de evaluaciones registradas respecto al total.",4,3,3,4.2,Sí,"Acceso autenticado",Sprint 3
